Dopant,Dopant/Ti mole ratio,Calcination temperature,Pollutant,Catalyst/Pollutant mass ratio,pH,Experimental temperature,Light wavelength,Illumination time,Degradation rate
N,9.3,450,MB,400,7,25,600,60,86
N,0,600,Phenol,1000,5,25,580,180,21
S,0,550,MO,100,2.5,25,345,45,91.5
Fe,0.03,399.99,MB,99.99,7.01,24.99,579.99,15,18.41
N,0,400,MB,100,5,25,550,240,67.2
pure,10,500,MB,100,7,25,365,60,37
Ce,0.02,550,MB,400,0,25,345,60,31.7
Mo,0.03,450,MO,28.5,0,25,400,90,44
N,4.6,450,MB,400,7,25,600,30,57
I,10,500,MB,100,7,25,430,100,43
Ag,0.01,400,MB,100,12,25,254,120,99
N,0,400,MB,100,5,25,550,120,41.8
Bi,0.01,400,Phenol,100,7,25,525,90,61.33
N,18.6,450,MB,750,7,25,600,180,100
Ni,0.09,500,MO,400,0,25,525,20,97.3
Cd,0.1,500,AO,50,7,0,580,80,55.7
pure,0,900,MB,50,7,0,345,120,86
Fe,0.03,400.01,MB,99.99,7,25.01,580,15,18.4
Ni,0.09,500,MO,400,0,25,525,25,98
Ga,0.01,500,MB,100,10,25,525,90,59
S,0,500,MO,100,2.5,25,580,300,95
Fe,0,500,MB,100,7,0,545,240,60.5
Ag,0.01,400,MB,200,6.8,25,254,180,87.8
N,18.6,450,MB,31.58,7,25,600,240,19.14
C,16,800,MB,100,7,25,425,40,59
Cd,0.1,500,AO,50,7,0,580,60,38.15
C,16,600,MB,20,7,25,425,100,88
Fe,0,500,MB,100,7,0,545,360,73
N,4.6,450,MB,400,7,25,600,180,86
pure,0,500,MO,400,0,0,365,30,24.4
N,13.9,450,MB,400,7,25,600,180,83
Ce,0,400,Phenol,50,7,25,365,120,93.5
N,18.6,450,MB,333.33,7,25,600,30,42.79
C,16,500,MB,100,7,25,425,40,88
N,18.6,450,MB,750,7,25,600,120,97
Ce,0,550,MB,400,0,25,345,240,76.4
pure,0,900,MB,50,7,0,345,15,21.1
Ce,0,400,Phenol,50,7,25,365,60,56
Ga,0.01,500,MB,100,5,25,525,90,25
Ce,0.01,550,MB,400,0,25,345,120,49.8
S,0,750,MO,100,2.5,25,345,45,85
Cd,0.05,500,AO,50,7,0,580,40,19.15
Bi,0,500,Phenol,100,7,25,525,60,69.12
F,0.74,500,MB,200,7,25,580,180,73
Ni,0.09,500,MO,400,0,0,365,120,95.7
pure,0,400,MB,50,7,0,345,120,100
C,16,600,MB,200,7,25,425,20,82
Fe,0.1,400,MB,100,7,25,580,60,35.6
pure,0,900,MB,50,7,0,345,30,39.7
N,0.05,500,MB,200,7,25,580,140,90
C,16,600,MB,100,3,25,425,100,67
Ni,0.06,500,MO,400,0,25,525,15,96
N,18.6,450,MB,400,7,25,600,60,80
S,0.01,500,MO,100,2.5,25,345,30,42.5
pure,0,700,MB,50,7,0,345,60,100
Ag,0.01,400,MB,40,6.8,24.99,254,180,72
Bi,0,400,Phenol,100,7,25,525,60,63.17
Fe,0.07,400,MB,100,7,25,580,30,19.8
F,0.22,500,MB,200,7,25,580,20,19
Mo,0.02,450,MO,24.5,0,25,400,120,62
N,18.6,450,MO,333.33,7,25,475,30,44
Mo,0.01,450,MO,20.5,0,25,400,150,60
Ga,0.01,500,MB,125,7.5,25,525,60,42
Ni,0.09,500,MO,400,0,25,525,30,99
Ag,0.01,400.02,MB,39.99,6.8,25,254,180.02,72
Ag,0.01,400,MB,200,6.8,25,254,180,99
N,0.02,500,MB,200,7,25,580,120,75
C,16,600,MB,200,7,25,425,100,100
Ga,0.02,500,MB,100,7.5,25,525,90,93
S,0,800,MO,100,2.5,25,345,45,68.5
N,0.03,500,MB,200,7,25,580,10,52.7
pure,0,400,MB,50,7,0,345,105,100
S,1.05,500,Phenol,10,8,25,510,80,91
N,0,700,Phenol,1000,5,25,525,60,36
N,0,700,Phenol,1000,5,25,580,180,13
pure,0,400,MB,100,6.8,25,254,30,51
S,0,500,MO,100,2.5,25,345,30,57.5
Bi,0,500,Phenol,100,7,25,525,120,100
pure,0,500,MO,400,0,0,365,90,63.9
S,1.05,800,Phenol,10,8,25,510,40,15.5
Ag,0.01,400,MB,60,7,32,254,60,96.23
N,0,700,Phenol,1000,5,25,580,60,4
C,16,500,MB,100,7,25,425,80,95
F,10,500,MB,100,7,25,430,120,60
Fe,0.1,400,MB,100,7,25,580,45,23.8
C,16,600,MB,50,7,25,425,20,73
Fe,0.1,400,MB,100,7,25,580,15,6
N,0,400,MB,100,5,25,550,60,19.3
Bi,0,400,Phenol,100,7,25,525,90,73.48
N,18.6,450,MB,333.33,7,25,475,170,83
N,0,400,MB,100,3,25,550,60,9.7
pure,0,750,MB,50,7,0,345,15,92.7
C,0,400,MO,1000,7,25,575,120,59
Ni,0.09,500,MO,400,0,25,365,90,88.6
S,0,850,MO,100,2.5,25,345,45,39.5
F,0.47,500,MB,200,7,25,580,240,90
Mo,0.01,450,MO,34.5,0,25,525,120,34.3
Fe,0.03,400.01,MB,100.01,7,24.99,580.01,15.01,18.39
Ag,0.01,400,MR,50,6.4,20,365,15,78.5
Bi,0,650,Phenol,100,7,25,525,90,92.29
C,16,600,MB,400,7,25,425,60,96
S,0,700,MO,100,2.5,25,580,120,63.5
Ce,0,500,MO,215.38,0,25,580,60,11.1
Ga,0.01,500,MB,100,5,25,525,30,14
S,1.05,800,Phenol,10,8,25,510,20,6.5
N,18.6,450,MB,333.33,7,25,600,120,68.84
Mo,0.03,450,MO,26.5,0,25,400,30,14
C,16,799.99,MB,100,7,25.01,425,99.99,87
N,0.03,500,MB,200,7,25,580,140,86.9
Fe,0,500,MB,100,7,0,545,180,52.8
F,0.22,500,MB,200,7,25,580,40,32
N,0,600,Phenol,1000,5,25,580,360,39
F,10,500,MB,100,7,25,430,40,28
Ni,0.09,500,MO,400,0,25,525,10,88.2
Ga,0.01,500,MB,500,7.5,25,525,30,41
N,18.6,450,MO,333.33,7,25,475,120,71
S,0,850,MO,100,2.5,25,345,60,50
Mo,0.01,450,MO,31.5,0,25,525,30,12
Ga,0.01,500,MB,100,5,25,525,105,26
S,1.05,700,Phenol,10,8,25,510,60,90.3
Ga,0.06,500,MB,100,7.5,25,525,30,70
Bi,0,650,Phenol,100,7,25,525,15,36.51
F,1.5,450,MB,100,7,25,420,90,68.5
C,16,600,MB,100,7,25,425,40,96
Ga,0.01,500,MB,100,3,25,525,90,3
N,18.6,450,MB,31.58,7,25,600,300,24.88
S,0,500,MO,100,2.5,25,580,120,54
pure,0,700,MB,50,7,0,345,45,99.8
Bi,0.01,400,Phenol,100,7,25,525,60,33.52
S,1.05,500,Phenol,10,8,25,510,20,29
C,16,700,MB,100,7,25,425,40,75
C,16.01,800,MB,100,7.01,25.02,425.01,100,87
Cd,0.15,500,AO,25,2,0,580,120,75.44
Fe,0.04,399.99,MB,99.99,6.99,25.01,579.99,14.99,18.39
P,0.04,500,RhB,16.67,7,16,420,40,90
Cd,0.1,500,AO,50,7,0,580,20,9.18
Ag,0.01,400,MB,100,9,25,254,120,98
I,10,500,MB,100,7,25,430,80,37
S,0,700,MO,100,2.5,25,580,60,40
C,0,400,MO,1000,7,25,575,300,70
N,0,700,Phenol,1000,5,25,580,420,34
Cd,0.1,500,AO,50,7,0,580,100,66.48
N,0.03,500,MB,200,7,25,580,120,84.9
Ce,0,500,MO,215.38,0,25,580,150,47.8
pure,0,500,MO,400,0,0,365,60,44.3
Ce,0,550,MB,400,0,25,345,60,25.87
S,0,700,MO,100,2.5,25,345,45,78.5
C,16,600,MB,200,7,25,425,40,95
Ga,0.01,500,MB,62.5,7.5,25,525,180,84
P,0.04,500,RhB,16.67,7,16,420,10,57
Ce,0.01,500,MO,215.38,0,25,580,30,15.9
Ce,0.01,550,MB,400,0,25,345,480,86.4
Fe,0.04,400,MB,99.99,6.98,24.99,579.99,15.01,18.4
Ni,0.03,500,MO,400,0,25,525,25,97.2
S,0,850,MO,100,2.5,25,580,60,7.5
Ce,0.01,400,Phenol,50,7,25,365,180,36
Ag,0.01,400,MB,100,6.8,25,254,90,89.5
N,9.3,450,MB,400,7,25,600,30,82
S,0,850,MO,100,2.5,25,580,180,11.3
Ga,0,500,MB,100,7.5,25,525,30,61
S,0,700,MO,100,2.5,25,345,30,68.5
pure,0,400,MB,50,7,0,345,60,85.4
Ga,0.02,500,MB,100,7.5,25,525,60,83
C,16,600,MB,50,7,25,425,100,100
Cd,0.15,500,AO,75,2,0,580,120,88.85
S,0,550,MO,100,2.5,25,345,30,80.5
C,16,600,MB,200,7,25,425,80,100
pure,10,500,MB,100,7,25,450,60,4
Fe,0.1,400,MB,100,7,25,580,90,56.8
Ag,0.01,400,MB,5,7,32,254,60,51.76
F,0.22,500,MB,200,7,25,580,120,54
pure,0,800,MB,50,7,0,345,90,90.2
Ag,0.01,400,MB,100,6.8,25,254,180,98
Mo,0.02,450,MO,22.5,0,25,400,60,36
pure,0,600,MB,50,7,0,345,60,99
C,16,600,MB,20,7,25,425,40,70
Ce,0.01,550,MB,400,0,25,345,420,85.7
N,2,500,MB,100,7,0,545,60,35.6
C,15.99,800.02,MB,99.99,7.01,24.99,425,100,87.03
Ce,0.01,550,MB,400,0,25,345,240,72
pure,0,500,MB,100,7,0,545,180,18.1
Ce,0,550,MB,400,0,25,345,300,79.2
Fe,0.05,400,MB,100,7,25,580,45,31.9
Ag,0.02,399.98,MB,39.99,6.8,25,254.02,180,71.99
S,1.05,600,Phenol,10,8,25,510,20,51.5
S,0,850,MO,100,2.5,25,345,30,25.3
S,0,800,MO,100,2.5,25,580,300,65
C,16,600,MB,400,7,25,425,100,100
Ga,0.01,500,MB,100,7.5,25,525,105,98
S,0,500,MO,100,2.5,25,580,180,75.3
pure,10,500,MB,100,7,25,430,60,9
N,0,500,Phenol,1000,5,25,580,420,54
Ni,0.09,500,MO,400,0,25,525,5,63
C,0,400,MO,1000,7,25,575,180,64
Ag,0.01,400,MB,50,6.8,25,254,45,35.5
N,0,600,Phenol,1000,5,25,580,120,15
N,18.6,450,MO,333.33,7,25,475,90,64
Ag,0.01,400,MB,66.67,6.8,25,254,120,70.5
N,0.03,500,MB,200,7,25,580,160,88.86
Ce,0.01,500,MO,215.38,0,25,580,120,33.8
Ce,0.01,400,Phenol,50,7,25,365,60,18
N,0.03,500,MB,200,7,25,580,60,75
S,1.05,500,Phenol,10,8,25,510,100,100
S,0,700,MO,100,2.5,25,580,180,78
N,0.03,500,MB,200,7,25,580,20,58.2
F,0.74,500,MB,200,7,25,580,60,39
C,16,800,MB,100,7,25,425,60,70
N,0,600,Phenol,1000,5,25,580,60,9
Ce,0.02,550,MB,400,0,25,345,120,48.7
Ni,0.06,500,MO,400,0,25,365,60,79.2
Cd,0.1,500,AO,50,7,0,580,40,20.6
Ag,0.01,400,MB,37.5,6.8,25,254,180,63
S,1.05,800,Phenol,10,8,25,510,60,20
N,9.3,450,MB,400,7,25,600,120,89
Ag,0.03,400.01,MB,175,6.8,24.99,254,180.01,92.4
Ce,0,550,MB,400,0,25,345,60,43.3
N,0,400,MB,100,3,25,550,180,23.2
Ni,0.06,500,MO,400,0,25,365,90,94.5
pure,10,500,MB,100,7,25,450,120,11
S,1.05,700,Phenol,10,8,25,510,40,72.7
Cd,0.15,500,AO,125,2,0,580,120,85.75
Ga,0.01,500,MB,500,7.5,25,525,120,93
Ag,0.01,400,MR,25,6.4,20,365,45,90.6
pure,0,800,MB,50,7,0,345,30,50.3
Ce,0,500,MO,215.38,0,25,580,90,32.9
Ga,0.01,500,MB,62.5,7.5,25,525,120,65
Ag,0.01,400,MB,150,6.8,25,254,180,96.5
pure,0,900,MB,50,7,0,345,45,51.8
Ga,0.06,500,MB,100,7.5,25,525,90,93
S,1.05,600,Phenol,10,8,25,510,40,83.5
Mo,0.01,450,MO,32.5,0,25,525,60,19
Ni,0.06,500,MO,400,0,0,365,120,97.5
N,0.03,500,MB,200,7,25,580,80,77.2
F,1.5,450,MB,100,7,25,420,30,35
F,0.74,500,MB,200,7,25,580,240,79
Ga,0.01,500,MB,100,5,25,525,60,17
N,18.6,450,MB,750,7,25,600,30,72.56
Ni,0.12,500,MO,400,0,0,365,120,91.8
pure,0,500,MB,100,7,0,545,360,36.2
Fe,0.07,400,MB,100,7,25,580,45,28
Ga,0.01,500,MB,500,7.5,25,525,180,100
Ga,0.13,500,MB,100,7.5,25,525,60,83
Bi,0.01,400,Phenol,100,7,25,525,120,84.71
Ag,0.01,400,MR,33.33,6.4,20,365,45,93
S,0,800,MO,100,2.5,25,580,180,47.3
Ag,0.01,400,MR,50,11,20,365,45,88.1
C,16,600,MB,100,3,25,425,80,62
Ag,0.01,400,MB,125,6.8,25,254,180,98
N,0,500,Phenol,1000,5,25,525,60,36
I,10,500,MB,100,7,25,430,60,29
N,0.05,500,MB,200,7,25,580,180,93.8
Ce,0,550,MB,400,0,25,345,360,85.5
Ce,0.01,550,MB,400,0,25,345,60,35.5
Ce,0,550,MB,400,0,25,345,420,84
S,1.05,700,Phenol,10,8,25,510,20,46.8
C,16,600,MB,200,7,25,425,40,99
pure,0,500,MO,400,0,0,525,15,35.8
N,0,500,Phenol,1000,5,25,525,180,74
Ni,0.06,500,MO,400,0,25,525,5,71.1
N,18.6,450,MB,400,7,25,600,90,86
N,0,400,MB,100,10,25,550,30,1.1
pure,0,900,MB,50,7,0,345,90,76.4
Mo,0.03,450,MO,30.5,0,25,400,150,64
C,16,800,MB,100,7,25,425,20,50
Ag,0.01,400,MR,50,6.4,20,365,45,100
Cd,0.15,500,AO,50,11,0,580,120,78.76
S,0,500,MO,100,2.5,25,580,60,36
S,0,800,MO,100,2.5,25,345,15,23.2
Ag,0.01,400,MB,100,3,25,254,120,86
N,0,700,Phenol,1000,5,25,580,120,8
S,0,550,MO,100,2.5,25,345,15,40
F,0.22,500,MB,200,7,25,580,60,39
pure,10,500,MB,100,7,25,365,80,58
Ag,0.01,400,MB,100,4,25,254,120,90
S,1.05,800,Phenol,10,8,25,510,80,31.5
Ce,0.02,550,MB,400,0,25,345,420,81.5
F,0.47,500,MB,200,7,25,580,120,68
Ni,0.06,500,MO,400,0,25,525,20,97.4
Ce,0.01,400,Phenol,50,7,25,365,60,15
C,16,699.99,MB,100.01,7,25.01,424.98,99.99,94
N,0,400,MB,100,5,25,550,180,56.18
N,0.05,500,MB,200,7,25,580,50,73
Fe,0.1,400,MB,100,7,25,580,30,15.8
S,0,850,MO,100,2.5,25,345,15,8.4
Ce,0,500,MO,215.38,0,25,580,30,7
S,0,850,MO,100,2.5,25,580,240,15
pure,10,500,MB,100,7,25,430,120,19
Ce,0,400,Phenol,50,7,25,365,120,41.5
Ce,0,550,MB,400,0,25,345,240,78
pure,0,800,MB,50,7,0,345,15,38.4
Ag,0.01,400,MB,16,7,32,254,60,93.55
C,16,600,MB,50,7,25,425,80,97
S,0,500,MO,100,2.5,25,345,60,85
pure,0,500,MB,100,7,0,545,120,16.5
Ga,0.01,500,MB,125,7.5,25,525,180,95
Ce,0.01,550,MB,400,0,25,345,300,76.2
N,13.9,450,MB,400,7,25,600,90,70
N,0,600,Phenol,1000,5,25,580,300,33
S,0,500,MO,100,2.5,25,345,45,94
N,0.05,500,MB,200,7,25,580,40,71.5
Ag,0.01,400,MR,50,13,20,365,45,75.5
C,16,800,MB,100,6.99,25.01,425.01,100,87.01
C,16,600,MB,400,7,25,425,40,90
